scratch-svg-renderer,<0.2.0-prerelease.20201019174008
electron,<8.5.3
hermes-engine,<0.7.2
webpack-subresource-integrity,>=1.5.0 <1.5.1
osm-static-maps,<3.9.0
@tsed/core,<5.65.7
lightning-server,*
chart.js,<2.9.4
npm-user-validate,<1.0.1
nodetest1010,*
nodetest199,*
npmpubman,*
plutov-slack-client,*
freespace,*
bizcharts,<4.0.15
mathjs,<7.5.1
summernote,*
next,>=9.5.0 <9.5.4
dompurify,<2.0.17
electron,>=8.0.0-beta.0 <8.5.1
simpl-schema,<1.10.2
electron,>=8.0.0-beta.0 <8.5.2
hellojs,<1.18.6
json-pointer,<0.6.1
node-pdf-generator,*
phantomjs-seo,*
socket.io-file,*
froala-editor,<3.2.2
@actions/core,<1.2.6
electorn,*
loadyaml,*
safetydance,*
bmoor,<0.8.12
canvas-designer,*
datatables.net,<1.10.22
amp-html,*
bootstrap-select,<1.13.6
nats.ws,<1.0.0-111
mountebank,<2.3.1
mountebank,<2.3.2
generator-jhipster,<6.10.2
m-server,*
ng-packagr,<10.1.1
gity,*
snekserve,*
git-lib,*
hnzserver,*
http_server,*
commit-msg,*
joplin,<1.1.4
react-native-webview,<11.0.0
shiba,*
@knutkirkhorn/free-space,<1.3.0
node-idevice,*
heroku-exec-util,*
authmagic-timerange-stateless-core,*
ua-parser-js,<0.7.22
alfred-workflow-nodejs,*
nagibabel,*
renovate,>=19.180.0 <23.25.1
flsaba,*
keyd,*
objtools,*
notevil,*
passport-azure-ad,<4.3.0
trezor-connect,<8.1.12
joplin,<1.1.1
node-fetch,<2.6.1
json-logic-js,<2.0.0
bcoin,>=1.0.0-pre <1.0.2
zulip,<5.4.3
personnummer,<3.1.0
node-lemonldap-ng-handler,<0.5.2
hermes-engine,<0.7.0
hermes-engine,<0.7.0
bitcore-node,<8.22.2
sanitize-html,<2.0.0-beta
extend-merge,<1.0.6
@uppy/companion,<1.9.3
static-server-gx,*
gitbook,<3.2.2
bestzip,<2.1.7
infraserver,*
gedi,*
safe-object2,*
node-oojs,*
worksmith,*
promisehelpers,*
nodee-utils,<1.2.3
tiny-conf,*
dot-notes,*
deeps,*
deep-get-set,*
confucious,*
locutus,<2.0.12
node-forge,<0.10.0
arr-flatten-unflatten,*
gammautils,*
hangersteak,<0.2.5
json,<10.0.0
hermes-engine,<0.7.0
bl,>=2.2.0 <2.2.1
aedes,<0.42.1
fallguys,*
min-http-server,*
json-bigint,<1.0.0
windows-edge,<1.1.0
meemo-app,<1.13.1
extra-asciinema,<1.0.23
cloudron-surfer,<5.10.3
lodash,<4.17.17
jquery-confirm,*
safe-eval,*
grunt,<1.3.0
nodebb,>=1.12.2 <1.14.3
extra-ffmpeg,*
object-path,<0.11.5
supermixer,<1.0.5
object-path-set,<1.0.1
vboxmanage.js,<1.0.9
auth0-lock,<11.26.3
linux-cmdline,<1.0.1
connie-lang,<0.1.1
property-expr,<2.0.3
@irrelon/path,<4.7.0
irrelon-path,<4.7.0
ftp-srv,>=1.0.0 <4.3.4
nis-utils,*
templ8,*
jsonpointer,<4.1.0
bootstrap-switch,*
lodash,<4.17.20
madlib-object-utils,<0.1.7
phpjs,*
buefy,<0.9.0
@progress/kendo-angular-editor,<1.2.3
tinymce,<4.9.11
jpv,<2.2.2
prismjs,>=1.1.0 <1.21.0
wappalyzer,<6.0.6
polaris-website,<1.1.1
save-server,<1.0.7
ftp-srv,>=4.0.0 <4.3.4
markdown,*
markdown-it-katex,*
is-my-json-valid,<2.20.2
is-my-json-valid,<2.20.3
slp-validate,<1.2.2
slpjs,<0.27.4
auth0,<2.27.1
express-fileupload,<1.1.10
git-tags-remote,<1.0.3
fastify,<2.15.1
flat,>=5.0.0 <5.0.2
electron,>=7.0.0 <7.3.3
electron,>=7.0.0 <7.3.3
electron,>=9.0.0 <9.2.1
fastify,>=2.0.0 <2.15.1
jingo,<1.9.6
fast-json-patch,<2.2.1
marked,<1.1.1
typeorm,<0.2.25
parse,<2.10.0
diskstats,<0.1.0
xps,<1.0.3
parse-server,>=3.5.0 <4.3.0
mock2easy,*
sails-hook-sockets,<1.5.5
codecov,<3.7.1
express-cart,*
i18next,<19.8.3
fine-uploader,*
xlsx,<0.16.0
jquery-form,*
ajv,<6.12.3
tmi.js,<1.7.0
windows-shortcuts,*
admin-lte,<3.1.0-rc
scratch-vm,>=0.1.0-prerelease.1524239808 <0.2.0-prerelease.20200714185213
react-native-fast-image,<8.3.0
standard-version,<8.0.1
@knight-lab/timelinejs,<3.7.0
